SiteNum,Site,ELEV,LAT,LONG,Mean01,Mean02,Mean03,Mean04,Mean05,Mean06,Mean07,Mean08,Mean09,Mean10,Mean11,Mean12,Mean13
418,PALACIOS MUNICIPAL AP          PSX,12,28.73,96.25,52.9,55.8,62.1,68.5,75.7,81.1,83.4,83,79,71.3,62.2,55.1,69.2
419,PALESTINE 2 NE,465,31.78,95.6,47.9,52.4,60,66.2,73.2,79.3,82.9,82.7,77.1,67.7,57.4,49.7,66.4
421,PAMPA 2,3150,35.57,100.97,34.9,39.5,46.9,55.8,65,74.1,79.1,77.4,69.6,58.6,45.3,36.7,56.9
422,PANDALE 1 N,1689,30.17,101.55,46.1,50.9,59.7,67.6,76.4,81.9,84.3,83.5,77.4,67.7,55.5,47,66.5
423,PANDALE 11 NE,1665,30.27,101.45,45.5,50.5,58.6,66.5,74.8,80.4,82.9,82.3,76.6,67,55.1,47.1,65.6
424,PANHANDLE,3532,35.42,101.37,33.4,38,45.6,54.5,63.4,72.4,76.6,75.2,67.9,56.7,43.5,34.6,55.2
425,PANTHER JUNCTION,3740,29.33,103.2,49,53.6,60.8,67.9,75.8,80.6,81.2,79.7,75.2,66.8,57.3,50,66.5
426,PARIS,542,33.67,95.57,40.6,46,54.4,62.3,70.6,78.7,83.1,82.6,75.2,64.3,52.3,43.5,62.8
427,PEARSALL,635,28.88,99.08,51.5,56.1,63.9,69.9,76.4,81.4,84,83.9,79.7,71.1,60.9,53.1,69.3
428,PECOS,2610,31.42,103.5,44,49.1,56.4,64.6,73.8,81.6,83.7,82.1,75.3,65,52.7,44.9,64.4
429,PENWELL,2940,31.73,102.58,43.7,48.8,56.2,64.5,73.5,80.4,82.8,81.7,75.1,65.6,53.8,45.1,64.3
430,PERRYTON,2942,36.38,100.82,31.8,36.8,44.5,53.4,62.8,72.6,78.1,76.5,68.4,57.1,43.1,33.9,54.9
433,PERSIMMON GAP,2865,29.67,103.17,48.7,53.5,61.1,69.2,77.6,83.2,84.3,83,77.6,68.2,57.1,49.9,67.8
434,PIERCE 1 E,105,29.23,96.18,51.9,55.3,62.4,68.9,76,81.1,83.6,83.2,78.7,70.3,61.4,53.8,68.9
